,FIPS,yPLL,yPLLBlack,yPLLHisp,yPLLWhite,fairPoorHealthPerct,physUnhealthDaysAvgNum,mentalHealthDaysAvgNum,lowBirthWeightPerct,lowBirthWeightPerctBlack,lowBirthWeightPerctHisp,lowBirthWeightPerctWhite,smokersPerct,obesePerct,foodEnvIndex,physInactivePerct,exerciseAccessPerct,excessDrinkPerct,alcImpairedDriveDeathNum,drivingDeathsNum,alcImpairedDriveDeathPerct,chlamydiaCaseNum,chlamydiaCaseRate,teenBirthRate,teenBirthRateBlack,teenBirthRateHisp,teenBirthRateWhite,uninsuredNum,uninsuredPerct,primCarePhysNum,primCarePhysRate,dentistsNum,dentistsRate,mentalHealthProvidNum,mentalHealthProvidRate,preventableHospStaysNum,preventableHospStaysNumBlack,preventableHospStaysNumHisp,preventableHospStaysNumWhite,mammScreenedPerct,mammScreenedPerctBlack,mammScreenedPerctHisp,mammScreenedPerctWhite,fluVaccinatedPerct,fluVaccinatedPerctBlack,fluVaccinatedHisp,fluVaccinatedWhite,hSchoolGradCohortSize,hSchoolGradRate,someCollegeNum,someCollegePop,someCollegePerct,unemployedNum,laborForceNum,unemployedPerct,childrenInPovertyPerct,childrenInPovertyPerctBlack,childrenInPovertyPerctHisp,childrenInPovertyPerctWhite,incomeInequalityPerct80Th,incomeInequalityPerct20Th,incomeInequalityRatio,childSingleParentHouseholdsNum,HouseholdsNum,childSingleParentHouseholdsPerct,socialAssociationsNum,socialAssociationsRate,annAvgViolentCrimes,annAvgViolentCrimesRate,injuryDeathsNum,injuryDeathsRate,airPollutionAvgDailyPM25,SevereHousingProblemsPerct,SevereHousingProblemsCostBurden,SevereHousingProblemsOvercrowding,SevereHousingProblemsInadequateFacilities,driveAlonePerct,driveAlonePerctBlack,driveAlonePerctHisp,driveAlonePerctWhite,longCommuteWorkersDriveAloneNum,longCommuteWorkersDriveAlonePerct,lifeExpect,prematureAAMortalityNum,childMortalityRate,infantMortalityRate,freqPhysDistressPerct,freqMentalDistressPerct,diabeticPerct,HIVprevRate,foodInsecurePerct,foodLimitedAccessPerct,drugODRate,MVmortalityRate,insufficientSleepPerct,adultUninsuredPerct,childUinsuredPerct,disconYouthPerct,householdIncome,householdIncomeBlack,householdIncomeHisp,householdIncomeWHite,childrenFreeLunchPerct,residentialBlackWhiteSeg,nonwhiteWhiteSegIdx,homicideRate,firearmFatalitiesRate,homeownershipPerct,severeHousingCostBurdenPerct,pop,popUnder18,popOver65Perct,popBlackPerct,popNativePerct,popAsianPerct,popHawaiinIslanderPerct,popHispPerct,popNonHispWhitePerct,popNoEnglishPerct,popFemalePerct,popRuralPerct
FIPS,1.0,0.06750367842427984,0.01054342573474498,0.08403209693532274,0.10839677563815495,0.0607860834414996,0.06001717234776018,0.02901614164074643,-0.04789824218384415,-0.05332653751495481,-0.007020426831431388,-0.12853677067008248,0.08322510604565501,0.059216792767487154,-0.053103764129715694,0.04260502020202497,0.008709255460626758,-0.021510104773290226,0.0068143319309745005,0.010445727803195342,-0.04757068706537153,-0.02132245278088193,-0.24541496977957644,0.07374564888716993,-0.061989612874568625,0.05656925275565273,0.07012441327061382,0.025583516880449287,0.09482760830204293,-0.049655281179444524,-0.06580967435443491,-0.034485735660031686,-0.04536540572230808,-0.048834488084424726,-0.03582634781493292,0.025352536361311087,-0.01813375295043273,0.09966080372045605,0.012000445512457585,-0.09141124820406285,-0.04177668361056366,0.05822388132223865,-0.16331968613127307,0.03752921487470708,-0.015681117262451718,-0.0009926889992673202,0.0006468361714518891,-0.01506108073978622,-0.07186856467274505,0.003775723765825387,0.016259552354283703,-0.06067770359209632,0.03852883960224997,0.004671684116676766,0.15336371142400504,0.038454609644991755,-0.027638509039741195,0.04697923466336783,0.06715388442805169,-0.017281826054003187,-0.08721069241229332,0.10930290886389725,0.03627910927747745,0.022475275384643643,0.10400840676129156,-0.017302513436647772,-0.03106155888162155,-0.0018630129706037639,-0.03886938756925893,0.035406376234442295,-0.03031990498257365,-0.00768911747907264,-0.012233377741008565,-0.0044014675952430025,0.05977015366187167,0.009872544211122563,-0.010785625756324751,0.0008438818565400844,0.01506779037071268,0.03228375645509966,0.0034443568129577788,-0.039829372783469104,-0.0479718169181425,0.0397817096656157,0.0849210254968129,0.017286510957397035,0.0589223894095312,0.059014658740779935,0.005951316236691674,-0.15252811941641356,0.015658067488511285,0.0008128924595887964,0.22052927024859664,0.025717900680244786,0.004517901897928883,0.09806801933994475,0.0028563216391719925,-0.016324255454690236,-0.046017132071464795,-0.06635197259339731,-0.03001621198267341,-0.04652920996686521,0.04169094260159423,0.004688709550319611,0.013150631555021592,-0.035676369544999594,-0.0690916853307481,0.01941646970947976,0.05205179392101679,0.013867499727220465,0.08591995635514173,-0.05617993984186062,-0.001448848454735593,-0.006008125927156013,-0.026149953151318208,-0.060828252874471175,0.026032034300757744,-0.03611502177666062,-0.007842532751061828,-0.006012519705638911,-0.03766973647724668
yPLL,0.06750367842427984,1.0,0.6046105522119228,0.4766620476297896,0.8429041648007165,0.06492727331556136,0.22793068823140045,0.3661133080811266,0.2037839383746619,0.22883967742348763,0.0009038990060254419,0.2570979113756112,0.41580644825171337,0.24595727287426372,-0.4028683303484411,0.47641579951691115,-0.30320032509428446,-0.24023579206908144,-0.238669908459688,-0.24706180289862614,-0.0945623464573164,-0.3109620485147547,-0.09313188668333945,0.23077252119721126,0.47000034168175764,0.18170451729202533,0.544251821994714,-0.3220721146846204,0.08287984837707867,-0.3592495372935112,-0.24579954841865542,-0.3220583970789246,-0.1859031346445877,-0.33665412863609256,-0.2443032308819141,0.23904375696996713,-0.04676003147128246,0.01972948871950861,0.2533155502439801,-0.16171369078130166,-0.05852734946178009,-0.11834045930045585,-0.19369666426334578,-0.13686499341352182,-0.08401462871026674,-0.17676815036329652,-0.13167208347694181,-0.41439954211627744,0.20656394651967466,-0.32385743876114986,-0.31980454847082085,-0.27831591508721554,-0.26875050213651736,-0.32752974958197856,0.34523883297294006,0.3843533238267165,0.37153093406570153,0.17327392595812505,0.4075261416600256,-0.39215485192799887,-0.3789277470581708,0.13205639135472952,-0.2864486005656204,-0.323972796935076,0.21724666857877092,-0.2573431824193205,0.32422615988957326,-0.22738185974100808,0.10808364926011985,-0.2019375303808638,0.6806508277096512,-0.08227700867697003,-0.16805257665189083,-0.1351779106988814,-0.24611804797501075,0.21965973164350186,0.179827921584714,0.06947960618846695,0.0034630698478348098,0.19846660630694843,-0.31332505790470505,0.02558837804526221,-0.9294422560051682,0.9414695126357343,0.5673861079865017,0.6782458048280833,0.20088885427846123,0.33480707946548094,0.46674617350971676,0.026976458583717756,0.4593457906620316,0.040325969737734446,0.49659182036888533,0.5431771542715628,0.021025286390625352,0.08353903078250216,0.10356457547172399,0.3543239369326326,-0.3929972014910026,-0.6321108441741378,-0.31816081263081414,-0.5725043100006106,0.1821926424933547,-0.12121345564615192,0.021940618131188555,0.5794577785558529,0.6503060703113865,0.25168867505981724,-0.053474390324825566,-0.3065973117189118,-0.2408423276268172,0.4369737714501629,0.20657910106604382,0.17042278160716567,-0.2852883319778598,-0.19831374339233798,-0.3683003458788212,0.3383651289217103,-0.36188401131687864,-0.023445944574934287,0.41055596334394096
yPLLBlack,0.01054342573474498,0.6046105522119228,1.0,0.2686285210528525,0.467633879541361,0.2718885911347362,0.3550059306769758,0.4031103105917498,0.11548346000087861,0.45070177439619946,-0.12291101465002713,0.13688924574924655,0.31945481702763256,0.2923240484307332,-0.22170316604079265,0.4252019161834144,-0.2919869964415938,-0.48648025304221765,-0.34229736386219745,-0.4052580152299655,0.03223122577031602,-0.41657994680469995,0.006853226727584237,0.3808702719325221,0.49779848573092605,0.28131812405243967,0.3544677766550982,-0.4517638272635417,0.2911303431006458,-0.4341962182634382,-0.27527082119976704,-0.447681797030829,-0.25614217618220986,-0.43191339902081055,-0.2974606872451951,0.07668736923724792,-0.1300575495321355,-0.21956331621972142,0.06961444896674486,-0.18830424777410837,-0.0774845724817028,-0.12557825740672843,-0.20953001955515643,-0.1616358548708429,-0.04886141900342161,-0.09774461305263832,-0.170997099543906,-0.46812762153631005,0.2119418835878191,-0.4851183938848131,-0.49109984157546177,-0.3543908975091157,-0.44195624478320084,-0.45710143654175633,0.3137328120195053,0.43667966519314066,0.3394758299359348,0.30984274898078046,0.4320388349514563,-0.38364890392303297,-0.41052591116635734,0.23465711900891797,-0.4286341870579449,-0.45456442472433334,0.27922505820849625,-0.3863505946552257,0.5317071563502175,-0.3946633572411998,0.1496727144928173,-0.42983171477102733,0.5462263322057725,-0.3638710978357813,-0.04667662434652726,-0.1356697271888591,-0.025238325352545797,0.3765101260817994,0.2282981153626499,0.0673536989326463,0.157476231633535,0.31542101650832644,-0.46082458375433816,-0.1775197971287299,-0.5644027588630672,0.5681070602986213,0.38901412419428694,0.521474358974359,0.3513926108157976,0.41697052233888326,0.4397801809292673,-0.21850271549946976,0.29492817801648286,-0.1197557439704784,0.3975886006576544,0.513201247638712,0.03457365022185125,0.2759412204015288,0.2932500109827351,0.302668244455472,-0.4077560075561218,-0.5004942230813162,-0.262805869173659,-0.37753152044985283,0.3318433422659579,-0.02586434125554628,0.061393489434608796,0.4816709381840891,0.3611949043843226,0.21163730615472479,-0.0916289592760181,-0.47926459605500155,-0.1423472301541976,0.47634318850766594,0.08031674208144797,-0.0035034925097746344,-0.4049993410358916,-0.22682642885384177,-0.2022580503448579,0.232976760532443,-0.25779774194965516,0.23941264332469359,0.3761508970534486
yPLLHisp,0.08403209693532274,0.4766620476297896,0.2686285210528525,1.0,0.30298089007766427,0.5542264187425477,0.47924655989172116,0.19980986755180302,0.2914007697148715,0.18262412077415563,0.4135860692907673,0.2932341737710865,0.20723470078308787,0.07790627738398932,0.1243812545016293,0.04553017729823804,-0.16049112178144437,-0.2576681383132996,-0.4614290901234113,-0.4320046171683125,-0.16871075239798897,-0.3908810042797497,0.030349056038072652,0.5099867874061422,0.2864962752603202,0.46599171593681055,0.31240341012153094,-0.48632979923302505,0.23676323676323677,-0.4654436237636898,-0.2333407047029338,-0.4522914839430087,-0.31072847682119203,-0.4186292188820278,-0.28921186694635903,0.2499713995224145,0.03513126869511623,0.32267303708914347,0.15987857323574167,-0.4631197368366065,-0.2630825162973635,-0.23871118587172177,-0.41473875843737557,-0.540881942630787,-0.4088861368467296,-0.377256914189511,-0.5271728263864579,-0.4452832994541359,-0.010854598217970886,-0.4783249009055461,-0.4549482775289227,-0.45971770165318554,-0.46116649949819677,-0.5013212593857755,0.1884953755921498,0.4937253466236498,0.2329671643830936,-0.010443825624091279,0.2700093631039031,-0.3707840546550224,-0.4252815130689346,0.2537365859946505,-0.4201121459185975,-0.4725403628629435,0.3125165157423222,-0.47731668055999704,0.29348715800328706,-0.3577934273190801,0.16009796654957945,-0.46982806217766254,0.29869485353356323,-0.5501454296559614,-0.03440108278817956,-0.31079243337307855,0.214301827205053,0.16838054971100197,-0.010679642937707455,-0.050134138162307176,0.07361449930960957,0.10824596408489026,-0.5008378718056138,-0.2598900917852252,-0.41101479165995297,0.4472489943512975,0.14245245798153555,0.0579106503764038,0.49173407237923367,0.27314943121394736,-0.021453694502978526,-0.16574029386469297,-0.3379472569930087,0.26242789468595923,0.15105485232067511,0.3359029290190675,0.14937965260545905,0.27594663401115016,0.1599239470207212,0.3899941371897596,-0.49086719731881023,-0.26879680359505836,-0.32863318718934603,-0.32787857303986334,0.3811027681995424,-0.1289004975010788,-0.359850737088143,0.3190237633916362,0.1437976250104821,-0.00022880345460990622,-0.16616286938867583,-0.49137636556991393,0.059166639811801106,0.10000966775160323,-0.28613644420096035,0.29084786181560374,-0.30707679417356837,-0.18944281524926687,0.4914730430859463,-0.37172182656053626,0.09391576165769715,-0.4179626824788115,0.0804798563007034
yPLLWhite,0.10839677563815495,0.8429041648007165,0.467633879541361,0.30298089007766427,1.0,0.20468652037617555,0.28330721003134796,0.3069771607702642,0.14433841487822172,0.15497325337307188,-0.007266840822455653,0.1900704086332829,0.3723399014778325,0.2439188596045447,-0.25554325164530756,0.38073627982219443,-0.32655844155844155,-0.26958128078817734,-0.3703349005133991,-0.370844289556525,-0.13473813903350354,-0.4137078333254004,-0.0777277699978884,0.3975078369905956,0.3225165115073372,0.27285835550079246,0.6510665804783452,-0.44126063591580833,0.2515360501567398,-0.4440693623905699,-0.34334125326997383,-0.4368970338174708,-0.30453282527585934,-0.4644782858406219,-0.3278439153439153,0.240863593031452,-0.0769510377667115,0.0761628539323875,0.25203422091825,-0.2727770530430362,-0.014387712337737158,-0.1270001171460884,-0.31139177331889,-0.18038704456906468,-0.030696802235978135,-0.21501469586275443,-0.19422564243022666,-0.5233905625015646,0.17909361585961237,-0.4757254814151366,-0.45015500465210107,-0.4255687416032244,-0.39932288174054753,-0.4720219435736677,0.4206471115091805,0.3904978632013584,0.3373857962045989,0.1469118420463041,0.48363414248755376,-0.45846842812360056,-0.3340117935646894,0.008842364532019704,-0.4196999552171966,-0.457384684281236,0.20403940886699506,-0.4312484396892548,0.29404836542767576,-0.3318000521247147,0.12132781012091357,-0.3546888813192953,0.699191670398567,-0.28855255152918624,-0.18462158531124048,-0.2848992386923421,-0.05618226600985222,0.21857041295916216,0.007080161218092252,-0.00260196905766526,-0.04229745905147018,0.10739878076834598,-0.47183076121299444,-0.03822155943113363,-0.7713345275414241,0.7992075669641256,0.49693784421715187,0.5754508649245491,0.2653269144648455,0.30487012987012985,0.3723552134956265,-0.03929975451362057,0.22791891157977626,0.024059561128526644,0.5037131131522377,0.5930606188286588,0.052333184057321985,0.25439543215405286,0.20620465741155397,0.42923050732039497,-0.4286341244961935,-0.45563943551199243,-0.2873189513200987,-0.5471674876847291,0.27995969547693683,-0.11592295838347083,0.009874464356886301,0.5062828700444492,0.6821983581051322,0.2201612180922526,-0.2400806090461263,-0.45374160322436186,-0.18534034930586654,0.37342588446036723,0.043649798477384684,0.2369435736677116,-0.2953515450067174,-0.2580263423793185,-0.1631527093596059,0.16914464845499327,-0.17238244514106582,-0.15424317062248097,0.365495081655767
fairPoorHealthPerct,0.0607860834414996,0.06492727331556136,0.2718885911347362,0.5542264187425477,0.20468652037617555,1.0,0.894252023426158,0.582110001885663,0.32519541115228545,0.13652451020242248,0.30188341315399375,0.1678564481261401,0.5595889620981753,0.1322073429037766,0.05756645846389269,-0.07713433014133768,0.012106033519494767,-0.5341035869702523,-0.14040641206301188,-0.13011367001608917,-0.03512113288150176,-0.10594521899503914,0.25383732567095474,0.7011972152877888,0.2957853555198688,0.6045756087831878,0.26970312076136554,-0.061359505128557534,0.4630730447231645,-0.13475030279756156,-0.09623370136504512,-0.10991109295212054,-0.0844353496144693,-0.06398788265824054,-0.04024310573227408,0.17064574890693557,-0.05627065302911094,0.2591397870878095,-0.0037919515119436797,-0.4054709610609639,-0.1409424712531645,-0.1643666486965277,-0.4013177132369177,-0.3056855018614182,-0.1364178903018099,-0.23676402556775278,-0.3482228890899196,-0.17381225681387016,-0.2993818470986966,-0.11996454217525833,-0.07016721631647063,-0.5493910041063514,-0.06286315189819619,-0.1222667499043438,0.38210011588588627,0.616433375625363,0.25292229909684355,0.2733738993093437,0.3055330104488581,-0.5863016657909623,-0.5620187665706546,0.3046217048955837,-0.01269547304762649,-0.0660201831876105,0.40224265735674,-0.18887594473275188,-0.1362555723383201,-0.025595678797998688,0.1964966531815615,-0.22218663288573456,-0.16247395782628166,-0.26094051694763776,0.32504733838630606,0.03527984432842894,0.4585942297134344,0.07970904932267858,-0.11087881045792317,0.0210267229254571,0.23524159375905634,0.08274455973192296,-0.12672684679698,-0.41489399878915006,-0.04255587667377614,0.10518578944384942,-0.0593363329583802,0.08182956284222107,0.9196509875930703,0.6890091482112748,-0.1596548901113934,0.03629668060366134,-0.33824699391875923,0.2585301837270341,-0.015345921119778377,0.018622812730418218,0.6414150161013644,0.5859054935036166,0.0010402268653874672,0.44647236821149866,-0.5948768552268562,-0.2510047797397931,-0.3521132237845979,-0.26441012208523385,0.7251654175328166,-0.018432677732917385,-0.20557197129590546,0.32344132861123615,-0.08718698014932118,-0.36966206357430154,0.09203691435803726,-0.1047323199813774,0.31370364335706585,-0.23397561819536566,-0.0816334750265883,0.20533005606278612,-0.007362878336575111,0.010205153189168984,0.7174281022358836,-0.759852222610746,0.569613782997905,-0.2654252289662088,-0.24560600407327943
physUnhealthDaysAvgNum,0.06001717234776018,0.22793068823140045,0.3550059306769758,0.47924655989172116,0.28330721003134796,0.894252023426158,1.0,0.8261235713357267,0.2917880967082144,0.13292336126438714,0.18486247026345679,0.16078198921672618,0.7384633128717548,0.11484137086292141,-0.16684649134549212,0.06310171701536238,-0.025237654550349813,-0.6460614359963898,-0.11557554397610675,-0.12675272734202336,0.003820715146097006,-0.09119478246355825,0.23131425625009444,0.5767061636370029,0.2788635664741859,0.43596348101389293,0.26872667490588015,-0.03424841736956986,0.4531965647981517,-0.10482884501759428,-0.08139276897040215,-0.07061313094910271,-0.06406399674301909,-0.07332785168795035,-0.03872681696511544,0.1767475826828827,-0.0670023603461841,0.18369648302906136,0.02347239096776963,-0.3117627110920167,-0.11129271597786168,-0.06523338385212661,-0.3155958892780314,-0.2231168022833747,-0.09957651823139024,-0.1770348421252811,-0.24632135123930127,-0.17414421228337015,-0.26026543230541016,-0.09910872121895363,-0.05954927863272994,-0.49074725343126574,-0.026335686822121993,-0.09350215203569212,0.417199808870671,0.6825742643269977,0.3106991212511724,0.43596160078879975,0.4619043488978258,-0.7365747207662748,-0.7025992509337753,0.3427860578111298,0.012581234660672392,-0.0500971299655884,0.4409642877411772,-0.14445837192918626,-0.08590342807508726,-0.019032152194722023,0.15950094890262392,-0.16514067393147513,-0.051867248194084774,-0.13065381247663088,0.35149532181590326,0.14764706754647444,0.339195988180066,0.15566476686374645,-0.03245793415558001,-0.023206751054852322,0.2377303736890337,0.048082463783541744,-0.09991673788251264,-0.3463941269370163,-0.17562322075365225,0.23395973916692478,-0.013621344206974128,0.119639853817069,0.9921160982521918,0.8996556376744467,0.025825540678294255,0.029853884158691557,-0.050460201448032566,0.27737713615837545,0.09634030764744478,0.057809330628803245,0.6084104227729497,0.5610791850274702,-0.015086401807307219,0.4173594521420608,-0.7014904060033649,-0.4156821701421694,-0.5096153323460453,-0.49717241967614545,0.7374962648251601,0.02601619609606408,-0.1329458497039755,0.27962431570171864,0.027368671693729765,-0.29120676934681,0.19331279242268629,-0.0720865398768472,0.16500356079066028,-0.05658197049944437,-0.007227399456160189,0.1464644088381611,-0.06499097627250215,-0.023283562807069638,0.43876813119820146,-0.49645403833937174,0.35824655921196896,-0.09934735912859823,-0.11746289227905532
mentalHealthDaysAvgNum,0.02901614164074643,0.3661133080811266,0.4031103105917498,0.19980986755180302,0.3069771607702642,0.582110001885663,0.8261235713357267,1.0,0.2106318738919938,0.11708497473136126,0.0038208607257833554,0.13229146403679085,0.7430679918788342,0.0994317257440875,-0.3833846651915452,0.24168100066949189,-0.08313703090572311,-0.6796862842737543,-0.0585519087253077,-0.09725714130745117,0.0801192832150687,-0.05140392972750554,0.1825273463008963,0.33289617102070956,0.311067072129019,0.14136298261233168,0.22558824420480406,0.0044289303324066085,0.4072134845036954,-0.04857941289441118,-0.033919819155913244,-0.025753725890933075,-0.033661289280181715,-0.03538867605054528,0.008228840643617754,0.13123567575097428,-0.11475059008654602,0.05822769943732114,0.028059276449965278,-0.12901505910130454,-0.05002742480670002,0.022312354701550022,-0.14210022495013086,-0.08010916968162039,-0.007660827259969888,-0.07538123015584174,-0.08151256033783515,-0.12300255587832341,-0.17003875733232413,-0.06452232993502559,-0.05051896044609948,-0.26966993575930887,0.021993516952762585,-0.04919383333302821,0.4145254628570173,0.6245056873717922,0.30952557978838274,0.5309946272145052,0.5138245376985123,-0.7292788529311074,-0.6944385352161571,0.3371971726040639,0.03824203233023682,-0.02271473631196158,0.438887495491801,-0.06749943188944801,-0.005018810929595636,-0.009535899326065725,0.11175444487048002,-0.05695492998119499,0.07720068537159991,0.03849907818260981,0.3307735301941428,0.26350661236201,0.15172772871621953,0.2012895356435854,0.0309303641160177,0.010337552742616034,0.1963903879442012,0.03405099482857971,-0.05172942814230626,-0.19334407383228772,-0.27595964367295944,0.3146833809188665,0.13115743344581926,0.22573628902742826,0.8023993687606068,0.962573069438164,0.2850119737320024,0.022741375977994655,0.28918009353463503,0.2199203854458904,0.1438361157687541,0.10850779369446652,0.41496630521742794,0.461543277794763,0.027000129982589657,0.2605510431597388,-0.6477977104756814,-0.4974214963541607,-0.5508733019133805,-0.640211520738098,0.5965916679989587,0.07954350556943601,-0.004823251182474483,0.22772771425291718,0.13535559607995915,-0.1336993594238293,0.2867116906829334,-0.0280714897181922,0.027886940777369116,0.16822346753272907,0.06196326105506808,0.09623143788780977,-0.11845523451259488,-0.056815879608589956,0.04270642059070679,-0.10136335259882796,0.08273526042124664,0.17221195074794296,0.06573482650310429
lowBirthWeightPerct,-0.04789824218384415,0.2037839383746619,0.11548346000087861,0.2914007697148715,0.14433841487822172,0.32519541115228545,0.2917880967082144,0.2106318738919938,1.0,0.254948007224244,0.587574714725894,0.6591083429066391,0.28053211844344983,0.13707921960856903,-0.13381020965653967,0.08090352186541366,-0.05920137849440699,-0.17431231895298507,0.08784245941428181,0.08670376631987557,0.01069794316524488,0.10827508422679442,0.25195918182054505,0.3122283355590936,0.17727303789250692,0.21374015578670172,0.1699106920858409,0.046599568133815494,-0.0982246613925196,-0.04778466572753274,-0.1179593219491313,0.03159795097455886,-0.013292511481528574,0.11418094185258632,0.03239316100576718,0.12075941185532064,0.08929661683713612,0.09996229293943916,0.00992876683561499,-0.1772317633244468,0.015624725777470753,0.0064817014061845715,-0.18290318229790312,-0.08129078709080292,-0.13596767211440633,-0.06070195053996896,-0.052155617242003155,0.015045228933658412,-0.3036894485034026,0.05485734100038884,0.08008087146259804,-0.11150658629148269,0.11946890585125808,0.04405948478910415,0.37049256347670445,0.33573261136371885,0.05747286818536219,0.027884910283182258,0.1256475885243448,-0.2576544558920926,-0.31432346057163624,0.24802543020737025,0.11643473665673465,0.06627832170063186,0.36107713599942154,0.007626970892539121,-0.14231835888151667,0.15880320249160781,0.3291348309766025,0.05964204812192779,-0.106830845038788,0.008528589414415415,0.10168939075734937,0.08167080031596109,0.018918244785971074,0.06978613466774906,0.1334568072754729,0.016408813877168308,0.10876614476044269,0.22642489328669635,0.05150539416631725,-0.03791996941487877,-0.21125278816167176,0.25959886950023975,0.09340434008248968,0.24938352786454052,0.29924507828351987,0.23598579618154536,0.052901860483938135,0.21822433299554225,0.09910764499623766,0.09968884698244597,0.09265874462345994,-0.15339295877539666,0.36991603325013084,-0.017291745793167584,-0.3124049470639461,0.07310081223124701,-0.2784063077122666,-0.1294626816132028,-0.09135097365350815,-0.08939826161858662,0.2442883862447443,-0.07562890822366744,0.044524087844054074,0.4454627887758887,0.00489422523727566,-0.15534183919615366,0.1521623697750255,0.06533380398934309,0.021890579926068788,-0.09572805896790249,0.26455478759346496,-0.14329573249737604,0.029326294147386783,0.043378406610204784,0.12017257070759813,-0.2534130057729375,-0.028740054911384094,-0.033879357235836675,-0.12512732619025999
lowBirthWeightPerctBlack,-0.05332653751495481,0.22883967742348763,0.45070177439619946,0.18262412077415563,0.15497325337307188,0.13652451020242248,0.13292336126438714,0.11708497473136126,0.254948007224244,1.0,-0.03712174972661224,0.0524405405540096,0.046295722921647686,0.014364667494226609,-0.0421822859362976,0.2723838230200111,-0.18699775642917205,-0.21159608065670457,-0.1400602762859882,-0.16554079880008765,0.018276053471934405,-0.17618939876146658,0.12991287696698192,0.13969218750902768,0.37587220809195754,0.26416267967385276,0.04260406891770932,-0.19806795501646593,0.21391110497401303,-0.20658540202842782,-0.10077386590482788,-0.1887275744159799,-0.013166466655395392,-0.1835651692803903,-0.06063964853667175,-0.11945296572223386,-0.08062501530796434,-0.11610263207666072,-0.10570565706990835,-0.09221334264298027,-0.05370632829591332,-0.061431193526048346,-0.08705849056492236,-0.09602267487611807,-0.08486581510912372,-0.04350969195302375,-0.10790302380216765,-0.21274268667928603,-0.03836699136817273,-0.2392382331532908,-0.23514701154009035,-0.15063377363424887,-0.21665483749823045,-0.2228234722531984,-0.021463990892575828,0.09017201721594269,0.2708530662455528,0.11474980351206679,0.1365340370514649,-0.07632911452788173,-0.1434011965779395,0.1341809053379868,-0.19993521742878057,-0.21276311966440123,0.19612447781181191,-0.17598426088805422,0.35689481882719737,-0.2033272995852765,0.08970004715892041,-0.23197732578578595,0.21796954266608462,-0.07150415313997312,0.04856787641826523,-0.06094801674889208,0.08461270977026729,0.14011613229141542,0.04136557854219451,-0.0020233059555150672,-0.12024593138271591,0.1290312902234737,-0.22239000062176822,-0.0895551538583855,-0.2121772184482923,0.233975763580588,0.21031310848596718,0.2854220376111799,0.13999228325386395,0.13297575893412045,0.16650544625959954,-0.011368868599194726,0.074765822916138,-0.0523929063087975,0.1705319590258686,0.2900830264926948,-0.1067769240674611,0.21611180710281241,0.2086951551232872,0.09428334847681086,-0.07301853448564022,-0.21822676759023,-0.0025055612981568763,-0.07451901320982163,0.0944206008594403,-0.1504241829553156,-0.20301715309400395,0.3362286214998524,0.12723726677423206,-0.01336616920651748,-0.07072256386641662,-0.2374328952597519,-0.0809543997379774,0.21816960649597547,0.0265275111586229,0.23187397884349892,-0.20752335269106933,-0.15313933493240575,0.006035258868374073,0.017596090181352664,-0.031305225953397325,-0.008269304968821934,0.18981721886892355
